% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 8 2020, 00:39
% Table:              tce_outflow_concentration0.5 - tce_outflow_concentraion (tce_outflow_concentraion)
% Q_inject_design        t (s)                    tce_outflow_concentraion (mol/(m*s))
0.5                      285                      1.8250878015160723E-7
0.5                      286                      1.820289899507456E-7
0.5                      287                      1.815515345284168E-7
0.5                      288                      1.810764138846207E-7
0.5                      289                      1.806036280193574E-7
0.5                      290                      1.8013317693262684E-7
0.5                      291                      1.7966506062442906E-7
0.5                      292                      1.7919927909476408E-7
0.5                      293                      1.7873583234363186E-7
0.5                      294                      1.7827472037103232E-7
0.5                      295                      1.7781594317696566E-7
0.5                      296                      1.7735950076143167E-7
0.5                      297                      1.769053931244305E-7
0.5                      298                      1.764536202659621E-7
0.5                      299                      1.7600418218602635E-7
0.5                      300                      1.7555707888462348E-7
0.5                      301                      1.7511231036175337E-7
0.5                      302                      1.74669876617416E-7
0.5                      303                      1.742297776516113E-7
0.5                      304                      1.7379201346433954E-7
0.5                      305                      1.7335658405560044E-7
0.5                      306                      1.7292348942539413E-7
0.5                      307                      1.724927295737206E-7
0.5                      308                      1.7206430450057976E-7
0.5                      309                      1.7163821420597173E-7
0.5                      310                      1.7121445868989662E-7
0.5                      311                      1.7079303795235415E-7
0.5                      312                      1.7037395199334428E-7
0.5                      313                      1.6995720081286732E-7
0.5                      314                      1.6954278441092306E-7
0.5                      315                      1.6913070278751164E-7
0.5                      316                      1.6872095594263304E-7
0.5                      317                      1.683135438762871E-7
0.5                      318                      1.67908466588474E-7
0.5                      319                      1.6750572407919358E-7
0.5                      320                      1.6710531634844595E-7
0.5                      321                      1.6670724339623115E-7
0.5                      322                      1.6631178450414413E-7
0.5                      323                      1.659216115888312E-7
0.5                      324                      1.6553391745722907E-7
0.5                      325                      1.6514870210933774E-7
0.5                      326                      1.64765965545157E-7
0.5                      327                      1.6438570776468713E-7
0.5                      328                      1.6400792876792806E-7
0.5                      329                      1.6363262855487976E-7
0.5                      330                      1.6325980712554207E-7
0.5                      331                      1.628894644799153E-7
0.5                      332                      1.6252160061799927E-7
0.5                      333                      1.62156215539794E-7
0.5                      334                      1.6179330924529948E-7
0.5                      335                      1.6143288173451574E-7
0.5                      336                      1.6107493300744275E-7
0.5                      337                      1.6071946306408057E-7
0.5                      338                      1.6036647190442907E-7
0.5                      339                      1.6001595952848845E-7
0.5                      340                      1.5966792593625844E-7
0.5                      341                      1.5932237112773937E-7
0.5                      342                      1.58979295102931E-7
0.5                      343                      1.5863869786183337E-7
0.5                      344                      1.5830057940444652E-7
0.5                      345                      1.5796493973077044E-7
0.5                      346                      1.576317788408051E-7
0.5                      347                      1.573010967345506E-7
0.5                      348                      1.5697289341200675E-7
0.5                      349                      1.5664716887317385E-7
0.5                      350                      1.5632392311805151E-7
0.5                      351                      1.5600315614664005E-7
0.5                      352                      1.5568486795893932E-7
0.5                      353                      1.5536905855494938E-7
0.5                      354                      1.5505572793467026E-7
0.5                      355                      1.5474487609810177E-7
0.5                      356                      1.5443650304524418E-7
0.5                      357                      1.5413060877609722E-7
0.5                      358                      1.5382719329066105E-7
0.5                      359                      1.5352625658893573E-7
0.5                      360                      1.5322779867092115E-7
0.5                      361                      1.5293181953661733E-7
0.5                      362                      1.5263831918602417E-7
0.5                      363                      1.5234729761914194E-7
0.5                      364                      1.5205875483597039E-7
0.5                      365                      1.517726908365097E-7
0.5                      366                      1.514759702729203E-7
0.5                      367                      1.511609527368365E-7
0.5                      368                      1.5084692300128848E-7
0.5                      369                      1.5053388106627645E-7
0.5                      370                      1.5022182693180004E-7
0.5                      371                      1.4991076059785957E-7
0.5                      372                      1.4960068206445492E-7
0.5                      373                      1.4929159133158614E-7
0.5                      374                      1.4898348839925324E-7
0.5                      375                      1.48676373267456E-7
0.5                      376                      1.4837024593619472E-7
0.5                      377                      1.4806510640546923E-7
0.5                      378                      1.4776095467527948E-7
0.5                      379                      1.4745779074562571E-7
0.5                      380                      1.4715561461650772E-7
0.5                      381                      1.468544262879256E-7
0.5                      382                      1.4655422575987924E-7
0.5                      383                      1.462550130323687E-7
0.5                      384                      1.4595678810539405E-7
0.5                      385                      1.4565955097895516E-7
0.5                      386                      1.4536330165305217E-7
0.5                      387                      1.45068040127685E-7
0.5                      388                      1.4477376640285355E-7
0.5                      389                      1.4448048047855813E-7
0.5                      390                      1.4418818235479846E-7
0.5                      391                      1.4389687203157455E-7
0.5                      392                      1.4360654950888652E-7
0.5                      393                      1.4331721478673433E-7
0.5                      394                      1.4302886786511797E-7
0.5                      395                      1.427415087440374E-7
0.5                      396                      1.4245513742349266E-7
0.5                      397                      1.4216975390348384E-7
0.5                      398                      1.4188535818401074E-7
0.5                      399                      1.4160195026507356E-7
0.5                      400                      1.4131953014667224E-7
0.5                      401                      1.4103809782880665E-7
0.5                      402                      1.4075765331147692E-7
0.5                      403                      1.4047819659468298E-7
0.5                      404                      1.4019972767842489E-7
0.5                      405                      1.3992224656270267E-7
0.5                      406                      1.396457532475163E-7
0.5                      407                      1.3937024773286562E-7
0.5                      408                      1.39095730018751E-7
0.5                      409                      1.3882220010517204E-7
0.5                      410                      1.38549759112592E-7
0.5                      411                      1.3827835256822307E-7
0.5                      412                      1.3800794023371928E-7
0.5                      413                      1.3773852210908066E-7
0.5                      414                      1.374700981943072E-7
0.5                      415                      1.372026684893988E-7
0.5                      416                      1.3693623299435553E-7
0.5                      417                      1.3667079170917757E-7
