% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 15 2020, 10:14
% Table:              tce_retention_mass_0.02 - tce_outflow_mass_Inte (tce_outflow_Inte)
% Q_inject_design        t (s)                    tce_retention_mass (mol/m)
0.02                     258                      2.1215454533490713E-4
0.02                     259                      2.1201679967380882E-4
0.02                     260                      2.1187891156617368E-4
0.02                     261                      2.1174088101200229E-4
0.02                     262                      2.1160270801129407E-4
0.02                     263                      2.114644227979555E-4
0.02                     264                      2.113260427111281E-4
0.02                     265                      2.1118753621560826E-4
0.02                     266                      2.1104890331139633E-4
0.02                     267                      2.1091014399849154E-4
0.02                     268                      2.107712582768943E-4
0.02                     269                      2.1063224614660482E-4
0.02                     270                      2.1049310760762238E-4
0.02                     271                      2.1035388183210358E-4
0.02                     272                      2.1021456060129048E-4
0.02                     273                      2.1007512681227666E-4
0.02                     274                      2.0993558046506164E-4
0.02                     275                      2.0979592155964563E-4
0.02                     276                      2.096561500960285E-4
0.02                     277                      2.0951626607421014E-4
0.02                     278                      2.0937626949419074E-4
0.02                     279                      2.0923620499845166E-4
0.02                     280                      2.0909604500796676E-4
0.02                     281                      2.0895578415794242E-4
0.02                     282                      2.0881542244837934E-4
0.02                     283                      2.0867495987927687E-4
0.02                     284                      2.0853439645063542E-4
0.02                     285                      2.08393732162455E-4
0.02                     286                      2.0825297051006839E-4
0.02                     287                      2.0811214776900319E-4
0.02                     288                      2.0797123381270088E-4
0.02                     289                      2.0783022864116082E-4
0.02                     290                      2.076891322543835E-4
0.02                     291                      2.075479446523687E-4
0.02                     292                      2.0740666583511657E-4
0.02                     293                      2.0726529580262717E-4
0.02                     294                      2.0712384405676212E-4
0.02                     295                      2.0698232793779777E-4
0.02                     296                      2.068407283400319E-4
0.02                     297                      2.0669904526346528E-4
0.02                     298                      2.0655727870809784E-4
0.02                     299                      2.0641542867392925E-4
0.02                     300                      2.0627349516095988E-4
0.02                     301                      2.061314781691898E-4
0.02                     302                      2.0598938936883325E-4
0.02                     303                      2.058472322078196E-4
0.02                     304                      2.057049970246072E-4
0.02                     305                      2.0556268381919664E-4
0.02                     306                      2.0542029259158756E-4
0.02                     307                      2.0527782334177987E-4
0.02                     308                      2.0513527606977339E-4
0.02                     309                      2.049926635487547E-4
0.02                     310                      2.0484997983650653E-4
0.02                     311                      2.0470722230739378E-4
0.02                     312                      2.0456439096141603E-4
0.02                     313                      2.0442148579857323E-4
0.02                     314                      2.0427850752952558E-4
0.02                     315                      2.0413546480770227E-4
0.02                     316                      2.039923511926061E-4
0.02                     317                      2.0384916668423679E-4
0.02                     318                      2.0370591128259413E-4
0.02                     319                      2.035625849876787E-4
0.02                     320                      2.0341919325706192E-4
0.02                     321                      2.0327573289444099E-4
0.02                     322                      2.0313220356459117E-4
0.02                     323                      2.0298860526751295E-4
0.02                     324                      2.0284493800320553E-4
0.02                     325                      2.0270120441502913E-4
0.02                     326                      2.025574036254547E-4
0.02                     327                      2.0241353501227973E-4
0.02                     328                      2.022695985755043E-4
0.02                     329                      2.02125594315128E-4
0.02                     330                      2.0198152329452393E-4
0.02                     331                      2.0183738555978826E-4
0.02                     332                      2.0169318058818776E-4
0.02                     333                      2.0154890853013165E-4
0.02                     334                      2.0140457029037154E-4
0.02                     335                      2.0126016531690554E-4
0.02                     336                      2.0111569360973318E-4
0.02                     337                      2.0097115535936986E-4
0.02                     338                      2.008265505668535E-4
0.02                     339                      2.0068187917086835E-4
0.02                     340                      2.0053714115328563E-4
0.02                     341                      2.003923365061993E-4
0.02                     342                      2.0024746523894329E-4
0.02                     343                      2.0010252732033534E-4
0.02                     344                      1.9995752275159734E-4
0.02                     345                      1.9981245146321675E-4
0.02                     346                      1.9966731351190385E-4
0.02                     347                      1.9952210917921303E-4
0.02                     348                      1.9937683880712117E-4
0.02                     349                      1.9923150219607367E-4
0.02                     350                      1.9908609870873884E-4
0.02                     351                      1.9894062768907147E-4
0.02                     352                      1.987950886314289E-4
0.02                     353                      1.9864948109629568E-4
0.02                     354                      1.9850380465002027E-4
0.02                     355                      1.9835805892875485E-4
0.02                     356                      1.982122438148225E-4
0.02                     357                      1.9806635909871902E-4
0.02                     358                      1.9792040460328767E-4
0.02                     359                      1.9777438018432145E-4
0.02                     360                      1.976282857478467E-4
0.02                     361                      1.9748212116226953E-4
0.02                     362                      1.9733588628218868E-4
0.02                     363                      1.97189581012568E-4
0.02                     364                      1.9704320525533849E-4
0.02                     365                      1.9689675889320843E-4
0.02                     366                      1.9675024149729093E-4
0.02                     367                      1.9660365314515558E-4
0.02                     368                      1.9645699376650424E-4
0.02                     369                      1.9631026314788287E-4
0.02                     370                      1.9616346140891464E-4
0.02                     371                      1.9601658840095464E-4
0.02                     372                      1.958696441395339E-4
0.02                     373                      1.9572262868470722E-4
0.02                     374                      1.9557554211655794E-4
0.02                     375                      1.9542838439175152E-4
0.02                     376                      1.9528115576864007E-4
0.02                     377                      1.951338561820434E-4
0.02                     378                      1.9498648573187477E-4
0.02                     379                      1.9483904459443522E-4
0.02                     380                      1.9469153266572038E-4
0.02                     381                      1.9454395024232809E-4
0.02                     382                      1.943962972122398E-4
0.02                     383                      1.9424857368898534E-4
0.02                     384                      1.9410077978888722E-4
0.02                     385                      1.9395291544329365E-4
0.02                     386                      1.938049809020705E-4
0.02                     387                      1.936569760570766E-4
0.02                     388                      1.9350890104444243E-4
0.02                     389                      1.9336075594691087E-4
0.02                     390                      1.932125407248033E-4
0.02                     391                      1.9306425563382515E-4
0.02                     392                      1.9291590055844367E-4
0.02                     393                      1.927674756889374E-4
0.02                     394                      1.9261898108768923E-4
0.02                     395                      1.9247041674178155E-4
0.02                     396                      1.923217829458156E-4
0.02                     397                      1.9217307956017493E-4
0.02                     398                      1.920243068645883E-4
0.02                     399                      1.9187546488828134E-4
0.02                     400                      1.9172655366212345E-4
0.02                     401                      1.9157757353100414E-4
0.02                     402                      1.9142852432225578E-4
0.02                     403                      1.912794064440816E-4
0.02                     404                      1.9113021986463306E-4
0.02                     405                      1.90980964684086E-4
0.02                     406                      1.9083164128475417E-4
0.02                     407                      1.906822494622344E-4
0.02                     408                      1.905327897921094E-4
0.02                     409                      1.9038326214197997E-4
0.02                     410                      1.902336667223092E-4
0.02                     411                      1.9008400394216705E-4
0.02                     412                      1.8993427356398164E-4
0.02                     413                      1.8978447637542513E-4
0.02                     414                      1.8963461209397847E-4
0.02                     415                      1.894846810814251E-4
0.02                     416                      1.8933468373871104E-4
0.02                     417                      1.891846198293267E-4
0.02                     418                      1.89034490319399E-4
0.02                     419                      1.888842947935604E-4
0.02                     420                      1.887340337910456E-4
0.02                     421                      1.885837076677517E-4
0.02                     422                      1.8843331624512362E-4
0.02                     423                      1.882828605728577E-4
0.02                     424                      1.881323401800985E-4
0.02                     425                      1.879817557913268E-4
0.02                     426                      1.8783110767375575E-4
0.02                     427                      1.8768039574487932E-4
0.02                     428                      1.875296211089922E-4
0.02                     429                      1.8737878324699366E-4
0.02                     430                      1.872278838891327E-4
0.02                     431                      1.8707692327339618E-4
0.02                     432                      1.8692590093993128E-4
0.02                     433                      1.8677481688873814E-4
0.02                     434                      1.8662367111981672E-4
0.02                     435                      1.864724663576198E-4
0.02                     436                      1.8632120165162458E-4
0.02                     437                      1.861698764248389E-4
0.02                     438                      1.8601849067726253E-4
0.02                     439                      1.858670461615237E-4
0.02                     440                      1.8571554556765887E-4
0.02                     441                      1.8556398646476025E-4
0.02                     442                      1.8541236885282782E-4
0.02                     443                      1.8526069273186202E-4
0.02                     444                      1.851089635311996E-4
0.02                     445                      1.8495717832454125E-4
0.02                     446                      1.8480533678383613E-4
0.02                     447                      1.8465343890908397E-4
0.02                     448                      1.845014875671068E-4
0.02                     449                      1.8434948452407689E-4
0.02                     450                      1.8419742748001952E-4
0.02                     451                      1.840453164349353E-4
0.02                     452                      1.838931517526765E-4
0.02                     453                      1.837409395289057E-4
0.02                     454                      1.8358867575662784E-4
0.02                     455                      1.8343636043584245E-4
0.02                     456                      1.8328399356654998E-4
0.02                     457                      1.831315792534754E-4
0.02                     458                      1.8297911785577868E-4
0.02                     459                      1.8282660746757172E-4
0.02                     460                      1.8267404808885432E-4
0.02                     461                      1.8252144095924703E-4
0.02                     462                      1.8236879136323362E-4
0.02                     463                      1.8221609543799693E-4
0.02                     464                      1.8206335318353677E-4
0.02                     465                      1.819105645998531E-4
0.02                     466                      1.8175773521467007E-4
0.02                     467                      1.816048636100284E-4
0.02                     468                      1.814519484417183E-4
0.02                     469                      1.8129898970973968E-4
0.02                     470                      1.8114598971633492E-4
0.02                     471                      1.80992952624866E-4
0.02                     472                      1.8083987484219323E-4
0.02                     473                      1.8068675636831645E-4
0.02                     474                      1.8053359720323573E-4
0.02                     475                      1.8038040453483445E-4
0.02                     476                      1.8022717477876485E-4
0.02                     477                      1.8007390731260766E-4
0.02                     478                      1.7992060213636315E-4
0.02                     479                      1.797672628198342E-4
0.02                     480                      1.7961389207142234E-4
0.02                     481                      1.7946048670251989E-4
0.02                     482                      1.7930704671312715E-4
0.02                     483                      1.7915357238041166E-4
0.02                     484                      1.790000719543577E-4
0.02                     485                      1.7884654010354948E-4
0.02                     486                      1.786929768279866E-4
0.02                     487                      1.7853938212766956E-4
0.02                     488                      1.7838576103939397E-4
0.02                     489                      1.7823211444459907E-4
0.02                     490                      1.7807843972220678E-4
0.02                     491                      1.7792473687221726E-4
0.02                     492                      1.7777100725291037E-4
0.02                     493                      1.7761725794946477E-4
0.02                     494                      1.7746348390989029E-4
0.02                     495                      1.7730968513418688E-4
0.02                     496                      1.771558616223546E-4
0.02                     497                      1.7700202004998183E-4
0.02                     498                      1.7684815909989912E-4
0.02                     499                      1.766942768940739E-4
0.02                     500                      1.765403734325062E-4
0.02                     501                      1.7638645132220064E-4
0.02                     502                      1.7623251611575857E-4
0.02                     503                      1.7607856321253475E-4
0.02                     504                      1.7592459261252914E-4
0.02                     505                      1.7577060431574193E-4
0.02                     506                      1.7561660676292985E-4
0.02                     507                      1.7546259610603065E-4
0.02                     508                      1.7530857138004898E-4
0.02                     509                      1.751545325849848E-4
0.02                     510                      1.7500048687966438E-4
0.02                     511                      1.7484644084071619E-4
0.02                     512                      1.746923873441562E-4
0.02                     513                      1.7453832638998477E-4
0.02                     514                      1.7438425797820187E-4
0.02                     515                      1.7423018210880746E-4
0.02                     516                      1.7407609878180132E-4
