% Model:              NP_reactive_flow_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 7 2020, 21:56
% Table:              tce_outflow_concentration4 - tce_outflow_concentraion (tce_outflow_concentraion)
% lowPM_per              t (s)                    tce_outflow_concentraion (mol/(m*s))
1.0E-14                  404                      1.6134481140507212E-7
1.0E-14                  405                      1.610269142975906E-7
1.0E-14                  406                      1.6071079602600364E-7
1.0E-14                  407                      1.6039645659031123E-7
1.0E-14                  408                      1.6007952699503733E-7
1.0E-14                  409                      1.5975473935159437E-7
1.0E-14                  410                      1.5943106229095207E-7
1.0E-14                  411                      1.5910849581311028E-7
1.0E-14                  412                      1.5878703991806906E-7
1.0E-14                  413                      1.5846669460582844E-7
1.0E-14                  414                      1.581474598763884E-7
1.0E-14                  415                      1.578293357297489E-7
1.0E-14                  416                      1.5751232216590998E-7
1.0E-14                  417                      1.571964191848715E-7
1.0E-14                  418                      1.5688162678663376E-7
1.0E-14                  419                      1.565679449711965E-7
1.0E-14                  420                      1.5625537373855979E-7
1.0E-14                  421                      1.559439130887236E-7
1.0E-14                  422                      1.5563356302168815E-7
1.0E-14                  423                      1.5532432353745315E-7
1.0E-14                  424                      1.5501619463601868E-7
1.0E-14                  425                      1.5470917631738488E-7
1.0E-14                  426                      1.544032685815516E-7
1.0E-14                  427                      1.540984714285188E-7
1.0E-14                  428                      1.5379478485828662E-7
1.0E-14                  429                      1.5349220887085503E-7
1.0E-14                  430                      1.5319074346622399E-7
1.0E-14                  431                      1.528903886443935E-7
1.0E-14                  432                      1.5259114440536354E-7
1.0E-14                  433                      1.5229301074913426E-7
1.0E-14                  434                      1.519959876757054E-7
1.0E-14                  435                      1.5170007518507722E-7
1.0E-14                  436                      1.514052732772496E-7
1.0E-14                  437                      1.5111158195222253E-7
1.0E-14                  438                      1.5081900120999596E-7
1.0E-14                  439                      1.5052753105056996E-7
1.0E-14                  440                      1.5023717147394456E-7
1.0E-14                  441                      1.4994792248011982E-7
1.0E-14                  442                      1.496597840690955E-7
1.0E-14                  443                      1.4937275624087178E-7
1.0E-14                  444                      1.4908683899544867E-7
1.0E-14                  445                      1.4880203233282605E-7
1.0E-14                  446                      1.4851833625300406E-7
1.0E-14                  447                      1.4823575075598265E-7
1.0E-14                  448                      1.4795427584176167E-7
1.0E-14                  449                      1.4767391151034137E-7
1.0E-14                  450                      1.4739465776172162E-7
1.0E-14                  451                      1.4711651459590244E-7
1.0E-14                  452                      1.4683948201288378E-7
1.0E-14                  453                      1.4656356001266572E-7
1.0E-14                  454                      1.4628874859524823E-7
1.0E-14                  455                      1.460150477606313E-7
1.0E-14                  456                      1.4574245750881491E-7
