% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable2.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 15 2020, 01:31
% Table:              tce_outflow_concentration0.02 - tce_outflow_concentraion (tce_outflow_concentraion)
% lowPM_per              t (s)                    tce_outflow_concentraion (mol/(m*s))
1.0E-12                  262                      2.4001708065782225E-7
1.0E-12                  263                      2.393197664864184E-7
1.0E-12                  264                      2.3862739302610056E-7
1.0E-12                  265                      2.3793996027686867E-7
1.0E-12                  266                      2.3725746823872252E-7
1.0E-12                  267                      2.3657991691166252E-7
1.0E-12                  268                      2.3590730629568845E-7
1.0E-12                  269                      2.352396363908003E-7
1.0E-12                  270                      2.345769071969981E-7
1.0E-12                  271                      2.3391911871428186E-7
1.0E-12                  272                      2.3326627094265168E-7
1.0E-12                  273                      2.3261836388210733E-7
1.0E-12                  274                      2.319753975326489E-7
1.0E-12                  275                      2.3133737189427642E-7
1.0E-12                  276                      2.3070428696698994E-7
1.0E-12                  277                      2.300761427507895E-7
1.0E-12                  278                      2.294529392456748E-7
1.0E-12                  279                      2.2883467645164616E-7
1.0E-12                  280                      2.2822135436870352E-7
1.0E-12                  281                      2.276129729968468E-7
1.0E-12                  282                      2.27009532336076E-7
1.0E-12                  283                      2.264110323863912E-7
1.0E-12                  284                      2.258174731477923E-7
1.0E-12                  285                      2.2521280817074902E-7
1.0E-12                  286                      2.246105590604674E-7
1.0E-12                  287                      2.2401193132349818E-7
1.0E-12                  288                      2.2341692495984163E-7
1.0E-12                  289                      2.2282553996949738E-7
1.0E-12                  290                      2.2223777635246562E-7
1.0E-12                  291                      2.2165363410874625E-7
1.0E-12                  292                      2.2107311323833932E-7
1.0E-12                  293                      2.2049621374124496E-7
1.0E-12                  294                      2.1992293561746294E-7
1.0E-12                  295                      2.1935327886699338E-7
1.0E-12                  296                      2.187872434898363E-7
1.0E-12                  297                      2.1822482948599166E-7
1.0E-12                  298                      2.1766603685545948E-7
1.0E-12                  299                      2.171108655982397E-7
1.0E-12                  300                      2.1655931571433243E-7
1.0E-12                  301                      2.1601138720373754E-7
1.0E-12                  302                      2.1546708006645517E-7
1.0E-12                  303                      2.1492639430248526E-7
1.0E-12                  304                      2.1438932991182772E-7
1.0E-12                  305                      2.1385588689448266E-7
1.0E-12                  306                      2.1332606525045002E-7
1.0E-12                  307                      2.127998649797299E-7
1.0E-12                  308                      2.1227728608232217E-7
1.0E-12                  309                      2.11758328558227E-7
1.0E-12                  310                      2.1123626547954316E-7
1.0E-12                  311                      2.1071320553289698E-7
1.0E-12                  312                      2.101929435859857E-7
1.0E-12                  313                      2.0967547963880921E-7
1.0E-12                  314                      2.0916081369136742E-7
1.0E-12                  315                      2.0864894574366045E-7
1.0E-12                  316                      2.0813987579568833E-7
1.0E-12                  317                      2.0763360384745107E-7
1.0E-12                  318                      2.0713012989894846E-7
1.0E-12                  319                      2.0662945395018072E-7
1.0E-12                  320                      2.0613157600114766E-7
1.0E-12                  321                      2.0563649605184967E-7
1.0E-12                  322                      2.0514421410228612E-7
1.0E-12                  323                      2.0465473015245757E-7
1.0E-12                  324                      2.0416804420236372E-7
1.0E-12                  325                      2.036841562520048E-7
1.0E-12                  326                      2.0320306630138051E-7
1.0E-12                  327                      2.0272477435049118E-7
1.0E-12                  328                      2.0224928039933653E-7
1.0E-12                  329                      2.017765844479167E-7
1.0E-12                  330                      2.0130668649623165E-7
1.0E-12                  331                      2.0083958654428137E-7
1.0E-12                  332                      2.00375284592066E-7
1.0E-12                  333                      1.999137806395853E-7
1.0E-12                  334                      1.9945507468683936E-7
1.0E-12                  335                      1.9899686949527752E-7
1.0E-12                  336                      1.985364994398711E-7
1.0E-12                  337                      1.9807838886265855E-7
1.0E-12                  338                      1.9762253776364E-7
1.0E-12                  339                      1.9716894614281534E-7
1.0E-12                  340                      1.967176140001846E-7
1.0E-12                  341                      1.9626854133574798E-7
1.0E-12                  342                      1.958217281495052E-7
1.0E-12                  343                      1.953771744414563E-7
1.0E-12                  344                      1.9493488021160136E-7
1.0E-12                  345                      1.9449484545994052E-7
1.0E-12                  346                      1.9405707018647342E-7
1.0E-12                  347                      1.936215543912003E-7
1.0E-12                  348                      1.9318829807412117E-7
1.0E-12                  349                      1.9275730123523605E-7
1.0E-12                  350                      1.923285638745448E-7
1.0E-12                  351                      1.919020859920474E-7
1.0E-12                  352                      1.9147786758774408E-7
1.0E-12                  353                      1.910559086616346E-7
1.0E-12                  354                      1.9063620921371918E-7
