% Model:              NP_reactive_flow_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 7 2020, 21:51
% Table:              tce_retention_mass_1 - tce_outflow_mass_Inte (tce_outflow_Inte)
% lowPM_per              t (s)                    tce_retention_mass (mol/m)
1.0E-11                  316                      5.818926338127297E-5
1.0E-11                  317                      5.780115648731945E-5
1.0E-11                  318                      5.7414413884574314E-5
1.0E-11                  319                      5.702902887248419E-5
1.0E-11                  320                      5.6645001451048914E-5
1.0E-11                  321                      5.6262331620268576E-5
1.0E-11                  322                      5.5881019380143184E-5
1.0E-11                  323                      5.550106473067269E-5
1.0E-11                  324                      5.512248430701172E-5
1.0E-11                  325                      5.474527342346047E-5
1.0E-11                  326                      5.4369426469234256E-5
1.0E-11                  327                      5.3994943444333004E-5
1.0E-11                  328                      5.362182434875677E-5
1.0E-11                  329                      5.3250069182505495E-5
1.0E-11                  330                      5.287968213617836E-5
1.0E-11                  331                      5.251069036871677E-5
1.0E-11                  332                      5.214307157746365E-5
1.0E-11                  333                      5.1776825762419096E-5
1.0E-11                  334                      5.1411952923583E-5
1.0E-11                  335                      5.104845306095547E-5
1.0E-11                  336                      5.068632617453639E-5
1.0E-11                  337                      5.032559470696928E-5
1.0E-11                  338                      4.996626287365754E-5
1.0E-11                  339                      4.960831531102595E-5
1.0E-11                  340                      4.925175201907448E-5
1.0E-11                  341                      4.889657299780311E-5
1.0E-11                  342                      4.854277824721192E-5
1.0E-11                  343                      4.819036776730079E-5
1.0E-11                  344                      4.7839389680430936E-5
1.0E-11                  345                      4.748980996091733E-5
1.0E-11                  346                      4.7141627566303084E-5
1.0E-11                  347                      4.6794842496588233E-5
1.0E-11                  348                      4.644945475177273E-5
1.0E-11                  349                      4.610546433185666E-5
1.0E-11                  350                      4.57628909371994E-5
1.0E-11                  351                      4.542175508440667E-5
1.0E-11                  352                      4.508203087339531E-5
1.0E-11                  353                      4.4743718304165255E-5
1.0E-11                  354                      4.4406817376716626E-5
1.0E-11                  355                      4.407132809104929E-5
1.0E-11                  356                      4.373725044716331E-5
1.0E-11                  357                      4.340462975778709E-5
