% Model:              NP_reactive_flow_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 7 2020, 21:51
% Table:              tce_retention_mass_7 - Global Evaluation 14 (TimeInt)
% lowPM_per              t (s)                    tce_retention_mass (mol/m)
1.0E-17                  460                      1.1447362889750436E-4
1.0E-17                  461                      1.1432381631602808E-4
1.0E-17                  462                      1.1417430256489802E-4
1.0E-17                  463                      1.1402508764411462E-4
1.0E-17                  464                      1.1387617155367757E-4
1.0E-17                  465                      1.1372755429358693E-4
1.0E-17                  466                      1.1357923586384261E-4
1.0E-17                  467                      1.1343121626444481E-4
1.0E-17                  468                      1.1328349549539337E-4
1.0E-17                  469                      1.1313607355668831E-4
1.0E-17                  470                      1.1298895044832972E-4
1.0E-17                  471                      1.1284212617031755E-4
1.0E-17                  472                      1.1269560072265172E-4
1.0E-17                  473                      1.1254937410533237E-4
1.0E-17                  474                      1.1240344631835951E-4
1.0E-17                  475                      1.122578173617327E-4
1.0E-17                  476                      1.1211248723545265E-4
1.0E-17                  477                      1.1196745593951896E-4
1.0E-17                  478                      1.1182272347393164E-4
1.0E-17                  479                      1.1167828983869057E-4
1.0E-17                  480                      1.1153415503379625E-4
1.0E-17                  481                      1.1139031905924809E-4
1.0E-17                  482                      1.1124678191504641E-4
1.0E-17                  483                      1.1110354360119093E-4
1.0E-17                  484                      1.1096060411768214E-4
1.0E-17                  485                      1.1081796346451975E-4
1.0E-17                  486                      1.1067562164170366E-4
1.0E-17                  487                      1.1053357864923422E-4
1.0E-17                  488                      1.103918344871108E-4
1.0E-17                  489                      1.1025038915533401E-4
1.0E-17                  490                      1.1010800364620516E-4
1.0E-17                  491                      1.0996522037602016E-4
1.0E-17                  492                      1.0982268932326826E-4
1.0E-17                  493                      1.0968041048794947E-4
1.0E-17                  494                      1.095383838700643E-4
1.0E-17                  495                      1.0939660946961218E-4
1.0E-17                  496                      1.0925508728659337E-4
1.0E-17                  497                      1.0911381732100798E-4
1.0E-17                  498                      1.089727995728558E-4
1.0E-17                  499                      1.0883203404213687E-4
1.0E-17                  500                      1.0869152072885117E-4
1.0E-17                  501                      1.085512596329988E-4
1.0E-17                  502                      1.0841125075457973E-4
1.0E-17                  503                      1.0827149409359404E-4
1.0E-17                  504                      1.0813198965004145E-4
1.0E-17                  505                      1.0799273742392228E-4
1.0E-17                  506                      1.0785373741523636E-4
1.0E-17                  507                      1.0771498962398372E-4
1.0E-17                  508                      1.075764940501642E-4
1.0E-17                  509                      1.0743825069377814E-4
1.0E-17                  510                      1.073002595548254E-4
1.0E-17                  511                      1.0716252063330586E-4
1.0E-17                  512                      1.0702503392921965E-4
1.0E-17                  513                      1.0688779944256661E-4
1.0E-17                  514                      1.0675081717334683E-4
1.0E-17                  515                      1.0661408712156047E-4
1.0E-17                  516                      1.0647760928720748E-4
1.0E-17                  517                      1.0634138367028752E-4
1.0E-17                  518                      1.0620541027080102E-4
1.0E-17                  519                      1.0606968908874775E-4
1.0E-17                  520                      1.0593422012412759E-4
1.0E-17                  521                      1.0579900337694096E-4
1.0E-17                  522                      1.056640388471876E-4
1.0E-17                  523                      1.0552932653486738E-4
1.0E-17                  524                      1.0539486643998061E-4
1.0E-17                  525                      1.0526065856252696E-4
1.0E-17                  526                      1.051267029025067E-4
1.0E-17                  527                      1.0499299945991965E-4
1.0E-17                  528                      1.0485954823476601E-4
1.0E-17                  529                      1.0472634922704549E-4
1.0E-17                  530                      1.0459340243675828E-4
1.0E-17                  531                      1.0446070786390443E-4
1.0E-17                  532                      1.0432826550848385E-4
1.0E-17                  533                      1.0419607537049647E-4
1.0E-17                  534                      1.0406413744994246E-4
1.0E-17                  535                      1.0393245174682165E-4
1.0E-17                  536                      1.0380101826113423E-4
1.0E-17                  537                      1.0366983699288E-4
1.0E-17                  538                      1.0353890794205902E-4
1.0E-17                  539                      1.0340823110867135E-4
1.0E-17                  540                      1.0327780649271721E-4
1.0E-17                  541                      1.0314763409419606E-4
1.0E-17                  542                      1.0301771391310828E-4
1.0E-17                  543                      1.0288804594945378E-4
1.0E-17                  544                      1.0275863020323256E-4
1.0E-17                  545                      1.0262946667444458E-4
1.0E-17                  546                      1.0250055536308984E-4
1.0E-17                  547                      1.0237189626916861E-4
1.0E-17                  548                      1.0224348939268049E-4
1.0E-17                  549                      1.0211533473362558E-4
1.0E-17                  550                      1.0198743229200417E-4
1.0E-17                  551                      1.0185978206781576E-4
1.0E-17                  552                      1.0173238406106093E-4
1.0E-17                  553                      1.0160523827173917E-4
1.0E-17                  554                      1.0147834469985077E-4
1.0E-17                  555                      1.0135170334539572E-4
1.0E-17                  556                      1.0122531420837385E-4
1.0E-17                  557                      1.0109917728878542E-4
1.0E-17                  558                      1.0097329258663008E-4
1.0E-17                  559                      1.0084766010190812E-4
1.0E-17                  560                      1.0072227983461932E-4
1.0E-17                  561                      1.005971517847638E-4
1.0E-17                  562                      1.0047227595234188E-4
1.0E-17                  563                      1.0034765233735283E-4
1.0E-17                  564                      1.002232809397974E-4
1.0E-17                  565                      1.000991617596749E-4
1.0E-17                  566                      9.997529479698608E-5
1.0E-17                  567                      9.985168005173029E-5
1.0E-17                  568                      9.972831752390763E-5
1.0E-17                  569                      9.960520721351865E-5
1.0E-17                  570                      9.948234912056268E-5
1.0E-17                  571                      9.935777570550403E-5
1.0E-17                  572                      9.92332079912299E-5
1.0E-17                  573                      9.91088395028027E-5
1.0E-17                  574                      9.89846702402228E-5
1.0E-17                  575                      9.886070020349E-5
1.0E-17                  576                      9.873692939260438E-5
1.0E-17                  577                      9.861335780756552E-5
1.0E-17                  578                      9.848998544837405E-5
1.0E-17                  579                      9.836681231502967E-5
1.0E-17                  580                      9.824383840753224E-5
1.0E-17                  581                      9.812106372588193E-5
1.0E-17                  582                      9.799848827007873E-5
1.0E-17                  583                      9.787611204012256E-5
1.0E-17                  584                      9.775393503601363E-5
1.0E-17                  585                      9.763195725775157E-5
1.0E-17                  586                      9.751017870533678E-5
1.0E-17                  587                      9.738859937876903E-5
