% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 8 2020, 00:39
% Table:              TCE_reacted 0.5 - tce_reacted_mass (tce_reacted_mass)
% Q_inject_design        t (s)                    The reacted TCE (mol/m)
0.5                      394                      4.57040085032287E-6
0.5                      395                      4.573723969702315E-6
0.5                      396                      4.5770395367666764E-6
0.5                      397                      4.580347551515874E-6
0.5                      398                      4.5836480139498255E-6
0.5                      399                      4.586940924068803E-6
0.5                      400                      4.590226281872588E-6
0.5                      401                      4.593504087360939E-6
0.5                      402                      4.596774340534396E-6
0.5                      403                      4.600037041392445E-6
0.5                      404                      4.6032921899356275E-6
0.5                      405                      4.606539786163483E-6
0.5                      406                      4.609779830076039E-6
0.5                      407                      4.613012321673458E-6
0.5                      408                      4.6162372609557666E-6
0.5                      409                      4.619454647923019E-6
0.5                      410                      4.62268328907972E-6
0.5                      411                      4.625913053511315E-6
0.5                      412                      4.629136457642765E-6
0.5                      413                      4.632353501473637E-6
0.5                      414                      4.635564185004174E-6
0.5                      415                      4.638768508233998E-6
0.5                      416                      4.641966471163758E-6
0.5                      417                      4.645158073792751E-6
0.5                      418                      4.6483433161216255E-6
0.5                      419                      4.6515221981497865E-6
0.5                      420                      4.65469471987764E-6
0.5                      421                      4.657860881304861E-6
0.5                      422                      4.661020682431992E-6
0.5                      423                      4.6641741232582735E-6
0.5                      424                      4.6673212037844644E-6
0.5                      425                      4.670461924010104E-6
0.5                      426                      4.673596283935193E-6
0.5                      427                      4.6767242835598385E-6
0.5                      428                      4.67984592288415E-6
0.5                      429                      4.6829612019080185E-6
0.5                      430                      4.686070120631309E-6
0.5                      431                      4.689172679054346E-6
0.5                      432                      4.692268877176886E-6
0.5                      433                      4.695358714998794E-6
0.5                      434                      4.698442192520503E-6
0.5                      435                      4.7015193097416335E-6
0.5                      436                      4.70459006666224E-6
0.5                      437                      4.707654463282675E-6
0.5                      438                      4.710712499602477E-6
0.5                      439                      4.713764175621945E-6
0.5                      440                      4.716809491340672E-6
0.5                      441                      4.719848446759281E-6
0.5                      442                      4.722881041877366E-6
0.5                      443                      4.725907276695117E-6
0.5                      444                      4.728927151212154E-6
0.5                      445                      4.731940665428911E-6
0.5                      446                      4.73494781934509E-6
0.5                      447                      4.737948612960988E-6
0.5                      448                      4.7409430462763355E-6
0.5                      449                      4.743931119291348E-6
0.5                      450                      4.746912832005891E-6
0.5                      451                      4.749888184419883E-6
0.5                      452                      4.752857176533622E-6
0.5                      453                      4.755820532262095E-6
0.5                      454                      4.758810902589513E-6
0.5                      455                      4.761796437185181E-6
0.5                      456                      4.764777136048937E-6
0.5                      457                      4.767752999180889E-6
0.5                      458                      4.770724026581036E-6
0.5                      459                      4.7736902182493254E-6
0.5                      460                      4.7766515741858105E-6
0.5                      461                      4.779608094390329E-6
0.5                      462                      4.7825597788632055E-6
0.5                      463                      4.7855066276041155E-6
0.5                      464                      4.7884486406132485E-6
0.5                      465                      4.791385817890604E-6
0.5                      466                      4.794318159435994E-6
0.5                      467                      4.797245665249687E-6
0.5                      468                      4.800168335331332E-6
