% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable2.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 15 2020, 01:37
% Table:              Table 61 - np_retention_mass_lowPM (np_retention_mass_lowPM)
% lowPM_per              t (s)                    np_retention_mass_lowPM (mol/m)
1.0E-14                  304                      1.8066142693843964E-4
1.0E-14                  305                      1.809604576102877E-4
1.0E-14                  306                      1.8125913586691453E-4
1.0E-14                  307                      1.815574617083205E-4
1.0E-14                  308                      1.8185543513450536E-4
1.0E-14                  309                      1.8215305614546938E-4
1.0E-14                  310                      1.8245032474121234E-4
1.0E-14                  311                      1.827472409217343E-4
1.0E-14                  312                      1.830438046870353E-4
1.0E-14                  313                      1.833400160371154E-4
1.0E-14                  314                      1.836358749719744E-4
1.0E-14                  315                      1.8393138149161247E-4
1.0E-14                  316                      1.8422653559602945E-4
1.0E-14                  317                      1.845213372852254E-4
1.0E-14                  318                      1.8481578655920054E-4
1.0E-14                  319                      1.851098834179547E-4
1.0E-14                  320                      1.8540362786148768E-4
1.0E-14                  321                      1.856970198897998E-4
1.0E-14                  322                      1.8599005950289092E-4
1.0E-14                  323                      1.8628274670076097E-4
1.0E-14                  324                      1.8657508148341016E-4
1.0E-14                  325                      1.8686706385083828E-4
1.0E-14                  326                      1.871586938030455E-4
1.0E-14                  327                      1.8744997134003164E-4
1.0E-14                  328                      1.8773968384242791E-4
1.0E-14                  329                      1.8802879853046747E-4
1.0E-14                  330                      1.8831749300841935E-4
1.0E-14                  331                      1.886057672762837E-4
1.0E-14                  332                      1.888936213340603E-4
1.0E-14                  333                      1.8918105518174932E-4
1.0E-14                  334                      1.894680688193507E-4
1.0E-14                  335                      1.897546622468644E-4
1.0E-14                  336                      1.900408354642904E-4
1.0E-14                  337                      1.903265884716288E-4
1.0E-14                  338                      1.9061192126887947E-4
1.0E-14                  339                      1.9089683385604278E-4
1.0E-14                  340                      1.911813262331181E-4
1.0E-14                  341                      1.914653984001059E-4
1.0E-14                  342                      1.9174905035700617E-4
1.0E-14                  343                      1.9203228210381862E-4
1.0E-14                  344                      1.9231509364054346E-4
1.0E-14                  345                      1.925974849671807E-4
1.0E-14                  346                      1.9287945608373037E-4
1.0E-14                  347                      1.931610069901923E-4
1.0E-14                  348                      1.9344213768656654E-4
1.0E-14                  349                      1.937228481728532E-4
1.0E-14                  350                      1.9400313844905207E-4
1.0E-14                  351                      1.9428300851516352E-4
1.0E-14                  352                      1.9456245837118707E-4
1.0E-14                  353                      1.9484148801712325E-4
1.0E-14                  354                      1.9512009745297168E-4
1.0E-14                  355                      1.953982866787325E-4
1.0E-14                  356                      1.956760556944055E-4
1.0E-14                  357                      1.9595340449999097E-4
1.0E-14                  358                      1.962303330954887E-4
1.0E-14                  359                      1.965068414808991E-4
1.0E-14                  360                      1.967829296562214E-4
1.0E-14                  361                      1.9705859762145635E-4
1.0E-14                  362                      1.9733384537660358E-4
1.0E-14                  363                      1.9760867292166318E-4
1.0E-14                  364                      1.9788308025663515E-4
1.0E-14                  365                      1.9815706738151938E-4
1.0E-14                  366                      1.9843063429631603E-4
1.0E-14                  367                      1.9870378100102505E-4
1.0E-14                  368                      1.9897653595314836E-4
1.0E-14                  369                      1.9924889186701098E-4
