% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable2.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 15 2020, 01:33
% Table:              TCE_reacted 0.02 - tce_reacted_mass (tce_reacted_mass)
% lowPM_per              t (s)                    The reacted TCE (mol/m)
1.0E-12                  327                      3.867572595612806E-6
1.0E-12                  328                      3.87215242641362E-6
1.0E-12                  329                      3.87672042784382E-6
1.0E-12                  330                      3.8812765999034216E-6
1.0E-12                  331                      3.885820942592586E-6
1.0E-12                  332                      3.890353455911083E-6
1.0E-12                  333                      3.8948741398589E-6
1.0E-12                  334                      3.899382994436375E-6
1.0E-12                  335                      3.903886137178765E-6
1.0E-12                  336                      3.9083906666331075E-6
1.0E-12                  337                      3.912884800797028E-6
1.0E-12                  338                      3.917368539670891E-6
1.0E-12                  339                      3.921841883254359E-6
1.0E-12                  340                      3.926304831547607E-6
1.0E-12                  341                      3.930757384550717E-6
1.0E-12                  342                      3.9351995422636215E-6
1.0E-12                  343                      3.9396313046862115E-6
1.0E-12                  344                      3.944052671818704E-6
1.0E-12                  345                      3.948463643661031E-6
1.0E-12                  346                      3.952864220212963E-6
1.0E-12                  347                      3.9572544014747834E-6
1.0E-12                  348                      3.961634187446452E-6
1.0E-12                  349                      3.966003578127577E-6
1.0E-12                  350                      3.970362573518739E-6
1.0E-12                  351                      3.9747111736196E-6
1.0E-12                  352                      3.979049378430283E-6
1.0E-12                  353                      3.983377187950706E-6
1.0E-12                  354                      3.987694602180936E-6
1.0E-12                  355                      3.992001621120798E-6
1.0E-12                  356                      3.996298244770711E-6
1.0E-12                  357                      4.000584473130107E-6
1.0E-12                  358                      4.0048603061995815E-6
1.0E-12                  359                      4.009125743978498E-6
1.0E-12                  360                      4.013381314105742E-6
1.0E-12                  361                      4.017641416663732E-6
1.0E-12                  362                      4.021892296195015E-6
1.0E-12                  363                      4.0261339526993746E-6
1.0E-12                  364                      4.030366386176607E-6
1.0E-12                  365                      4.034589596627077E-6
1.0E-12                  366                      4.038803584050692E-6
1.0E-12                  367                      4.0430083484473015E-6
1.0E-12                  368                      4.047203889816933E-6
1.0E-12                  369                      4.0513902081597215E-6
1.0E-12                  370                      4.055567303475586E-6
1.0E-12                  371                      4.059735175764378E-6
1.0E-12                  372                      4.063893825026531E-6
1.0E-12                  373                      4.068043251261638E-6
1.0E-12                  374                      4.07218345446959E-6
1.0E-12                  375                      4.07631443465089E-6
1.0E-12                  376                      4.080436191805143E-6
1.0E-12                  377                      4.084548725932609E-6
1.0E-12                  378                      4.088652037033015E-6
1.0E-12                  379                      4.092746125106456E-6
1.0E-12                  380                      4.096830990152987E-6
1.0E-12                  381                      4.100906632172852E-6
1.0E-12                  382                      4.1049730511655215E-6
1.0E-12                  383                      4.109030247131389E-6
1.0E-12                  384                      4.113078220070211E-6
1.0E-12                  385                      4.117116969982231E-6
1.0E-12                  386                      4.121155788918749E-6
1.0E-12                  387                      4.12518952067394E-6
1.0E-12                  388                      4.129214996351804E-6
1.0E-12                  389                      4.1332322159522736E-6
1.0E-12                  390                      4.1372411794753485E-6
1.0E-12                  391                      4.141241886921042E-6
1.0E-12                  392                      4.145234338289057E-6
1.0E-12                  393                      4.149218533579813E-6
1.0E-12                  394                      4.153194472793052E-6
1.0E-12                  395                      4.157162155928761E-6
1.0E-12                  396                      4.161121582987279E-6
1.0E-12                  397                      4.165072753968199E-6
1.0E-12                  398                      4.169015668871698E-6
1.0E-12                  399                      4.1729503276978285E-6
1.0E-12                  400                      4.176876730446565E-6
1.0E-12                  401                      4.180794877117731E-6
1.0E-12                  402                      4.184704767711502E-6
1.0E-12                  403                      4.188606402227865E-6
1.0E-12                  404                      4.1924997806667925E-6
1.0E-12                  405                      4.196384903028258E-6
1.0E-12                  406                      4.200261769312492E-6
1.0E-12                  407                      4.204130379518951E-6
1.0E-12                  408                      4.207990733648206E-6
1.0E-12                  409                      4.21184283169989E-6
1.0E-12                  410                      4.215686673674193E-6
