% Model:              NP_reactive_flow_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 7 2020, 21:50
% Table:              TCE_reacted lg = 0 - tce_reacted_mass (tce_reacted_mass)
% lowPM_per              t (s)                    The reacted TCE (mol/m)
1.0E-10                  404                      6.761966098583089E-6
1.0E-10                  405                      6.76207318654496E-6
1.0E-10                  406                      6.762178904466519E-6
1.0E-10                  407                      6.762283252347739E-6
1.0E-10                  408                      6.762386230188647E-6
1.0E-10                  409                      6.762487837989244E-6
1.0E-10                  410                      6.762588075749529E-6
1.0E-10                  411                      6.762687747594633E-6
1.0E-10                  412                      6.762787223242242E-6
1.0E-10                  413                      6.762885568232542E-6
1.0E-10                  414                      6.76298278256567E-6
1.0E-10                  415                      6.763078866241543E-6
1.0E-10                  416                      6.763173819260163E-6
1.0E-10                  417                      6.763267641621555E-6
1.0E-10                  418                      6.763360333325775E-6
1.0E-10                  419                      6.763451894372714E-6
1.0E-10                  420                      6.763542324762453E-6
1.0E-10                  421                      6.763631624494911E-6
1.0E-10                  422                      6.763719793570196E-6
1.0E-10                  423                      6.7638068319882E-6
1.0E-10                  424                      6.763892739749031E-6
1.0E-10                  425                      6.763977516852635E-6
1.0E-10                  426                      6.764062342597019E-6
1.0E-10                  427                      6.764146483037456E-6
1.0E-10                  428                      6.764229681115088E-6
1.0E-10                  429                      6.764311936829914E-6
1.0E-10                  430                      6.764393250182016E-6
1.0E-10                  431                      6.7644736211712854E-6
1.0E-10                  432                      6.764553049797776E-6
1.0E-10                  433                      6.764631536061488E-6
1.0E-10                  434                      6.764709079962422E-6
1.0E-10                  435                      6.764785681500577E-6
1.0E-10                  436                      6.7648613406759265E-6
1.0E-10                  437                      6.764936057488525E-6
1.0E-10                  438                      6.765009831938344E-6
1.0E-10                  439                      6.765082664025358E-6
1.0E-10                  440                      6.765154862425665E-6
1.0E-10                  441                      6.765227697969197E-6
1.0E-10                  442                      6.765299827357949E-6
1.0E-10                  443                      6.765371250591975E-6
1.0E-10                  444                      6.765441967671195E-6
1.0E-10                  445                      6.7655119785956885E-6
1.0E-10                  446                      6.7655812833654295E-6
1.0E-10                  447                      6.765649881980418E-6
1.0E-10                  448                      6.765717774440653E-6
1.0E-10                  449                      6.765784960746136E-6
1.0E-10                  450                      6.7658514408968935E-6
1.0E-10                  451                      6.765917214892844E-6
1.0E-10                  452                      6.765982282734068E-6
1.0E-10                  453                      6.7660466444205674E-6
1.0E-10                  454                      6.766110299952287E-6
1.0E-10                  455                      6.766173249329253E-6
1.0E-10                  456                      6.766235492551467E-6
1.0E-10                  457                      6.766297029618928E-6
1.0E-10                  458                      6.766357860531636E-6
1.0E-10                  459                      6.766417985289619E-6
1.0E-10                  460                      6.766477403892822E-6
1.0E-10                  461                      6.766536116341245E-6
1.0E-10                  462                      6.766594122634942E-6
1.0E-10                  463                      6.766651422773941E-6
1.0E-10                  464                      6.766708016758133E-6
1.0E-10                  465                      6.766763904587572E-6
1.0E-10                  466                      6.7668190862622585E-6
1.0E-10                  467                      6.766873561782192E-6
1.0E-10                  468                      6.7669273311474E-6
1.0E-10                  469                      6.766980394357829E-6
1.0E-10                  470                      6.7670344859861134E-6
1.0E-10                  471                      6.76708816926529E-6
1.0E-10                  472                      6.767141273081285E-6
1.0E-10                  473                      6.767193797434018E-6
1.0E-10                  474                      6.7672457423235694E-6
1.0E-10                  475                      6.767297107749913E-6
1.0E-10                  476                      6.767347893713076E-6
1.0E-10                  477                      6.767398100212976E-6
1.0E-10                  478                      6.767447727249723E-6
1.0E-10                  479                      6.767496774823261E-6
1.0E-10                  480                      6.767545242933619E-6
1.0E-10                  481                      6.767593131580741E-6
1.0E-10                  482                      6.767640440764682E-6
1.0E-10                  483                      6.767687170485415E-6
1.0E-10                  484                      6.76773332074294E-6
1.0E-10                  485                      6.767778891537257E-6
1.0E-10                  486                      6.767823882868393E-6
1.0E-10                  487                      6.767868294736321E-6
1.0E-10                  488                      6.767912127141068E-6
1.0E-10                  489                      6.7679553800825795E-6
1.0E-10                  490                      6.767998053560883E-6
1.0E-10                  491                      6.768040147576033E-6
1.0E-10                  492                      6.768081662127947E-6
1.0E-10                  493                      6.768122597216653E-6
1.0E-10                  494                      6.768162952842179E-6
1.0E-10                  495                      6.768202729004496E-6
1.0E-10                  496                      6.768241925703605E-6
1.0E-10                  497                      6.768280542939533E-6
1.0E-10                  498                      6.768318580712226E-6
1.0E-10                  499                      6.7683574803937706E-6
1.0E-10                  500                      6.768396740828707E-6
1.0E-10                  501                      6.768435572792963E-6
1.0E-10                  502                      6.768473976286483E-6
1.0E-10                  503                      6.768511951309376E-6
1.0E-10                  504                      6.76854949786156E-6
1.0E-10                  505                      6.7685866159430095E-6
1.0E-10                  506                      6.7686233055538046E-6
1.0E-10                  507                      6.768659566693918E-6
1.0E-10                  508                      6.768695399363297E-6
1.0E-10                  509                      6.768730803562021E-6
1.0E-10                  510                      6.768765779290037E-6
1.0E-10                  511                      6.768800326547371E-6
1.0E-10                  512                      6.768834445333998E-6
1.0E-10                  513                      6.768868135649943E-6
1.0E-10                  514                      6.768901397495179E-6
1.0E-10                  515                      6.768934230869762E-6
1.0E-10                  516                      6.768966635773663E-6
